id|allergen|concentration|medium|ac|ac_s|au|bb|eu|ic|jp|na|na_s
AP119|(nitrobutyl)morpholine / (ethylnitrotrimethylene)dimorpholineÿ(Bioban?ÿP 1487)|1|petrolatum|0|0|0|0|0|0|0|0|0
MS398|1,2-benzisothiazoline-3-one, sodium salt|0.1|petrolatum|0|0|0|0|0|0|0|0|0
CL430|1,3,5-tris(2-hydroxyethyl)-hexahydrotriazineÿ(Grotan BK)|1|petrolatum|0|0|0|0|0|0|0|0|0
DM211|1,3-butandiol-dimethacrylate|2|petrolatum|0|0|0|0|0|0|0|0|0
RC265|1,3-diphenylguanidineÿ(DPG)|1|petrolatum|1|1|0|0|0|0|0|1|1
PG319|1,4-butandioldimethacrylatÿ(BUDMA)|2|petrolatum|0|0|0|0|0|0|0|0|0
PG320|1,4-butanedioldiglycidyl ether|0.25|petrolatum|0|0|0|0|0|0|0|0|0
PG321|1,6-hexanediol diglycidyl ether|0.25|petrolatum|0|0|0|0|0|0|0|0|0
CL440|2-(2-aminoethoxy)ethanolÿ(diglycolamine)|1|petrolatum|0|0|0|0|0|0|0|0|0
NA03|2-bromo-2-nitropropane-1,3-diolÿ(bronopol?)|0.5|petrolatum|1|0|1|1|0|0|0|1|0
PG295|2-ethylhexyl acrylate|0.1|petrolatum|0|0|0|0|0|0|0|0|0
SS500|2-ethylhexyl p-(dimethylamino)benzoate|10|petrolatum|0|0|0|0|0|0|0|0|0
SS501|2-ethylhexyl-4-methoxycinnamateÿ(octinoxate)|10|petrolatum|1|1|1|0|0|0|0|0|0
NA85|2-hydroxy-4-methoxybenzophenoneÿ(oxybenzone)|10|petrolatum|1|1|1|0|0|0|0|1|1
NA72|2-hydroxyethyl methacrylateÿ(HEMA)|2|petrolatum|1|1|1|0|0|0|0|1|1
DM210|2-hydroxyethyl methacrylateÿ(HEMA)|1|petrolatum|0|0|0|0|0|0|0|0|0
DM212|2-hydroxy-ethylacrylate|0.1|petrolatum|0|0|0|0|0|0|0|0|0
AP75|2-hydroxymethyl-2-nitro-1,3-propanediol|1|petrolatum|0|0|0|0|0|0|0|0|0
DM213|2-hydroxypropyl-methacrylate|2|petrolatum|0|0|0|0|0|0|0|0|0
RC266|2-mercaptobenzimidazole|1|petrolatum|0|0|0|0|0|0|0|0|0
ST160|2-mercaptobenzothiazole|2|petrolatum|0|0|1|1|1|1|0|0|0
NA05|2-mercaptobenzothiazole|1|petrolatum|1|0|0|0|0|0|0|1|0
PA460|3,4,4'-triclocarban|1|petrolatum|0|0|0|0|0|0|0|0|0
SS503|3,4-methyl benzylidene camphor|10|petrolatum|0|0|0|0|0|0|0|0|0
HD475|3-aminophenol|1|petrolatum|0|0|0|0|0|0|0|0|0
PG296|4,4'-diaminodiphenylmethane|0.5|petrolatum|0|0|0|0|0|0|0|0|0
RC267|4,4'-dihydroxybiphenyl|0.1|petrolatum|0|0|0|0|0|0|0|0|0
CL433|4,4-dimethyl-1,3-oxazolidine/3,4,4-trimethyl-1,3-oxazolidineÿ(Bioban CS 1135)|1|petrolatum|0|0|0|0|0|0|0|0|0
DC320|4-aminoazobenzene|1|petrolatum|0|0|0|0|0|0|0|0|0
NA06|4-chloro-3,5-xylenolÿ(PCMX)|1|petrolatum|1|1|1|1|0|0|0|1|1
EE367|4-chloro-3-cresolÿ(PCMC)|1|petrolatum|1|1|1|1|0|0|0|0|0
AP76|4-hexyl-resorcinol|0.25|petrolatum|0|0|0|0|0|0|0|0|0
NA07|4-phenylenediamine base|1|petrolatum|1|0|1|1|1|1|1|1|0
PG297|4-tert-butylcatechol|1|petrolatum|0|0|0|0|0|0|0|0|0
NA08|4-tert-butylphenol formaldehyde resin|1|petrolatum|1|0|1|1|1|1|1|1|0
CL434|7-ethylbicyclooxazolidineÿ(Bioban CS 1246)|1|petrolatum|0|0|0|0|0|0|0|0|0
PG298|abietic acid|10|petrolatum|0|0|0|0|0|0|0|0|0
EE364|abitol|10|petrolatum|0|0|0|0|0|0|0|0|0
MS370|acetylsalicylic acid|10|petrolatum|0|0|0|0|0|0|0|0|0
NH445|alpha pinene|15|petrolatum|0|0|0|0|0|0|0|0|0
PF125|alpha-amylcinnamic aldeyhde|1|petrolatum|0|0|0|0|0|0|0|0|0
PF164|alpha-hexylcinnamic aldehyde|10|petrolatum|0|0|0|0|0|0|0|0|0
MC262|aluminum hydroxide|10|petrolatum|0|0|0|0|0|0|0|0|0
DM232|amalgamÿ(Hg 2.5%, Ag 1.7%, Cu 0.3%, Sn 0.4%, Zn 0.025%)|5|petrolatum|0|0|0|0|0|0|0|0|0
DM233|amalgam alloying metalsÿ(Ag 13.9%, Cu 2.4%, Sn 3.5%, Zn 0.2%)|20|petrolatum|0|0|0|0|0|0|0|0|0
FA180|amaranth|0.1|water|0|0|0|0|0|0|0|0|0
CS490|amcinonide|0.1|petrolatum|0|0|0|0|0|0|0|0|0
NA89|amerchol L101|50|petrolatum|1|1|1|1|0|0|0|1|1
NA10|amidoamineÿ(stearamidopropyl dimethylamine)|0.1|water|1|1|0|0|0|0|0|1|1
MS994|aminophenazone|10|petrolatum|0|0|0|0|0|0|0|0|0
DM216|ammoniated mercury|1|petrolatum|0|0|0|0|0|0|0|0|0
MC239|ammonium heptamolybdate|2|water|0|0|0|0|0|0|0|0|0
MC240|ammonium heptamolybdate|1|water|0|0|0|0|0|0|0|0|0
HD476|ammonium persulfate|2.5|petrolatum|0|0|0|0|0|0|0|1|1
DM217|ammonium tetrachloroplatinate|0.25|petrolatum|0|0|0|0|0|0|0|0|0
HD482|ammonium thioglycolate|1|water|0|0|0|0|0|0|0|0|0
AA414|ampicillin|5|petrolatum|0|0|0|0|0|0|0|0|0
PF157|amylcinnamic alcohol|1|petrolatum|0|0|0|0|0|0|0|0|0
DC322|aniline|1|petrolatum|0|0|0|0|0|0|0|0|0
PF158|anisyl alcohol|1|petrolatum|0|0|0|0|0|0|0|0|0
MC986|antimony chloride|1|petrolatum|0|0|0|0|0|0|0|0|0
FA181|aspartame|0.1|water|0|0|0|0|0|0|0|0|0
NH456|atranorin|0.1|petrolatum|0|0|0|0|0|0|0|0|0
EM396|atropine sulfate|1|water|0|0|0|0|0|0|0|0|0
FA182|azorubine|0.1|ethanol|0|0|0|0|0|0|0|0|0
NA11|bacitracin|20|petrolatum|1|0|0|0|0|0|0|1|0
NA12|balsam of peruÿ(myroxylon pereirae resin)|25|petrolatum|1|0|1|1|1|1|1|1|0
DC341|basic red 46|1|petrolatum|0|0|1|0|0|0|0|0|0
PF996|bay leaf oil|2|petrolatum|0|0|0|0|0|0|0|0|0
PF126|benzaldehyde|5|petrolatum|0|0|0|0|0|0|0|0|0
AP77|benzalkonium chloride|0.1|petrolatum|1|1|1|0|0|0|0|0|0
CL431|benzisothiazolinone|0.1|petrolatum|0|0|0|0|0|0|0|0|0
NA13|benzocaine|5|petrolatum|1|1|1|0|1|0|0|1|1
FA183|benzoic acid|1|ethanol|0|0|0|0|0|0|0|0|0
AP78|benzoic acid|5|petrolatum|0|0|0|0|0|0|0|0|0
SS509|benzophenone-4|2|petrolatum|1|1|1|0|0|0|0|0|0
SS506|benzophenone-4ÿ(sulisobenzone)|10|petrolatum|0|0|0|0|0|0|0|1|1
AP79|benzotriazole|1|petrolatum|0|0|0|0|0|0|0|0|0
DM218|benzoyl peroxide|1|petrolatum|0|0|0|0|0|0|0|0|0
AP118|benzyl alcohol|5|petrolatum|1|1|1|0|0|0|0|0|0
NA67|benzyl alcohol|1|petrolatum|0|0|0|0|0|0|0|0|0
PF127|benzyl cinnamate|5|petrolatum|0|0|0|0|0|0|0|0|0
PF128|benzyl salicylate|1|petrolatum|0|0|0|0|0|0|0|0|0
PF159|benzylbenzoate|1|petrolatum|0|0|0|0|0|0|0|0|0
CL432|benzylhemiformal|1|petrolatum|0|0|0|0|0|0|0|0|0
AP121|benzyl-p-hydroxybenzoate|3|petrolatum|0|0|0|0|0|0|0|0|0
MC990|beryllium(II) chloride|1|petrolatum|0|0|0|0|0|0|0|0|0
CS500|betamethason-17,21 dipropionate|0.5|petrolatum|0|0|1|0|0|0|0|0|0
CS997|betamethasone-17,21-dipropionate|0.1|ethanol|0|0|0|0|0|0|0|0|0
CS506|betamethasone-17-valerate|1|petrolatum|0|0|1|0|0|0|0|0|0
CS999|betamethasone-17-valerate|0.1|ethanol|0|0|0|0|0|0|0|0|0
CS491|betamethasone-17-valerate|0.12|petrolatum|0|0|0|0|0|0|0|0|0
PG299|bis(2-ethylhexyl) phthalate|5|petrolatum|0|0|0|0|0|0|0|0|0
RC292|bis(dibenzyldithiocarbamato)zinc|1|petrolatum|0|0|0|0|0|0|0|0|0
DM219|BIS-GMAÿ(bisphenol A-glycidyl methacrylate)|2|petrolatum|0|0|0|0|0|0|0|0|0
DC339|bismark brown R|0.5|petrolatum|0|0|0|0|0|0|0|0|0
DM220|bisphenol A|1|petrolatum|0|0|0|0|0|0|0|0|0
NA33|bisphenol A epoxy resin|1|petrolatum|1|0|1|1|1|1|1|1|0
PG315|bisphenol F|1|petrolatum|0|0|0|0|0|0|0|0|0
DM221|bisphenol-A-dimethacrylate|2|petrolatum|0|0|0|0|0|0|0|0|0
PA462|bithionol|1|petrolatum|0|0|0|0|0|0|0|0|0
NA15|black rubber mix - PPD [B] (N-dimethyl-1, C-butyl-N-phenyl-p-phenylenediamine (DMBPPD) 0.25%ÿ$$diphenyl-p-phenylenediamine (DPPD) 0.25%ÿ$$ N-isopropyl-N-phenyl-p-phenylenediamine (IPPD) 0.1%)|0.6|petrolatum|1|0|1|0|0|0|1|1|0
FA184|brilliant black|0.1|water|0|0|0|0|0|0|0|0|0
NA16|budesonide|0.1|petrolatum|1|0|1|1|0|0|0|1|0
CS497|budesonide|0.01|petrolatum|0|0|0|0|1|1|0|0|0
ST163|bufexamac|5|petrolatum|0|0|1|0|0|0|0|0|0
PG322|butyl glycidyl ether|0.25|petrolatum|0|0|0|0|0|0|0|0|0
PG300|butylacrylate|0.1|petrolatum|0|0|0|0|0|0|0|0|0
FA185|butylhydroxyanisoleÿ(BHA)|2|ethanol|0|0|0|0|0|0|0|0|0
EE346|butylhydroxyanisoleÿ(BHA)|2|petrolatum|0|0|0|0|0|0|0|0|0
EE347|butylhydroxytolueneÿ(BHT)|2|petrolatum|1|1|0|0|0|0|0|0|0
FA186|butylhydroxytolueneÿ(BHT)|1|ethanol|0|0|0|0|0|0|0|0|0
AP81|butyl-p-hydroxybenzoate|3|petrolatum|0|0|0|0|0|0|0|0|0
MC241|cadmium chloride|0.5|petrolatum|0|0|0|0|0|0|0|0|0
MC976|cadmium sulfate|2|petrolatum|0|0|0|0|0|0|0|0|0
LA525|caine mix [A] (benzocaine 5% $$ cinchocaine-HCl 1%ÿ$$ tetracaine-HCl 1%)|7|petrolatum|0|0|0|1|0|0|0|0|0
LA524|caine mix [C] (benzocaine 5%ÿ$$ cinchocaine-HCl 1%ÿ$$ procaine-HCl 1%)|7|petrolatum|0|0|0|0|0|0|1|0|0
MS371|camphor|1|petrolatum|0|0|0|0|0|0|0|0|0
NA65|cananga odorataÿ(ylang ylang)|2|petrolatum|1|1|0|0|0|0|0|1|1
NA18|carba mix (1,3 diphenylguanidine 1%ÿ$$ zinc bis(diethyldithiocarbamate) 1% $$ zinc bis(dibutyldithiocarbamate) 1%)|3|petrolatum|1|0|1|1|0|1|0|1|0
EM999|carboxymethyl cellulose sodium|2|petrolatum|0|0|0|0|0|0|0|0|0
FA187|carmine|0.5|water|0|0|0|0|0|0|0|0|0
NA91|carmine|2.5|petrolatum|0|0|0|0|0|0|0|0|0
NA73|carvone|5|petrolatum|0|0|0|0|0|0|0|1|1
PF139|cedar oil|10|petrolatum|0|0|0|0|0|0|0|0|0
AP82|cetalkonium chloride|0.1|petrolatum|0|0|0|0|0|0|0|0|0
AP83|cetylpyridinium chloride|0.1|petrolatum|0|0|0|0|0|0|0|0|0
ST164|cetylstearylalcohol|20|petrolatum|1|1|1|1|0|0|0|0|0
MS391|chloramphenicol|5|petrolatum|0|0|0|0|0|0|0|0|0
AP84|chlorhexidine digluconate|0.5|water|1|1|0|0|0|0|0|0|0
AP126|chlorhexidine digluconate|1|water|0|0|0|0|0|0|0|1|1
AP85|chloroacetamide|0.2|petrolatum|0|0|1|0|0|0|0|0|0
AA415|chlorotetracycline-HCl|1|petrolatum|0|0|0|0|0|0|0|0|0
EM398|chlorphenamine maleate|5|petrolatum|0|0|0|0|0|0|0|0|0
PA463|chlorpromazine-HCl|1|petrolatum|0|0|0|0|0|0|0|0|0
MS372|chlorquinaldol|5|petrolatum|0|0|0|0|0|0|0|0|0
MC243|chromium(III) chloride|1|petrolatum|0|0|0|0|0|0|0|0|0
MC242|chromium(III) sulfate hydrate|0.5|petrolatum|0|0|0|0|0|0|0|0|0
LA520|cinchocaine-HCl|5|petrolatum|0|0|0|0|0|0|0|0|0
NA26|cinchocaine-HCl|2.5|petrolatum|1|1|0|0|0|0|0|0|0
PF129|cinnamic alcohol|1|petrolatum|0|0|0|0|0|0|0|0|0
NA19|cinnamic aldehyde|1|petrolatum|1|1|0|0|0|0|0|1|1
PF160|citral|2|petrolatum|0|0|0|0|0|0|0|0|0
PF130|citronellal|2|petrolatum|0|0|0|0|0|0|0|0|0
PF161|citronellol|1|petrolatum|0|0|0|0|0|0|0|0|0
AP86|clioquinol|5|petrolatum|0|0|0|0|1|0|0|0|0
CS998|clobetasol-17-propionate|0.1|ethanol|0|0|0|0|0|0|0|0|0
CS492|clobetasol-17-propionate|0.25|petrolatum|0|0|0|0|0|0|0|0|0
NA20|clobetasol-17-propionate|1|petrolatum|1|1|0|0|0|0|0|1|1
AA426|clotrimazole|1|petrolatum|0|0|0|0|0|0|0|0|0
NH448|coal tar|5|petrolatum|0|0|0|0|0|0|0|0|0
NA21|cobalt (II) chloride hexahydrate|1|petrolatum|1|0|1|1|1|1|1|1|0
MC244|cobalt (II) sulfate|2.5|petrolatum|0|0|0|0|0|0|0|0|0
NA22|cocamidopropyl betaine|1|water|1|1|1|0|0|0|0|1|1
FA188|cochineal red|1|water|0|0|0|0|0|0|0|0|0
NA23|coconut diethanolamideÿ(cocamide DEA)|0.5|petrolatum|1|1|1|0|0|0|0|1|1
EE349|cold cream|100|petrolatum|0|0|0|0|0|0|0|0|0
NA24|colophony|20|petrolatum|1|0|1|1|1|1|1|1|0
NA25|compositae mix (tanacetum vulgare 1%ÿ$$ arnica montana 0.5%ÿ$$ parthenolide 1%ÿ$$ chamomilla romana 2.5%$$ achillea millefolium 1%)|6|petrolatum|1|1|1|1|0|1|0|1|1
MC245|copper sulfate pentahydrate|2|petrolatum|0|0|0|0|0|0|0|0|0
DM222|copper sulfate pentahydrate|1|water|0|0|0|0|0|0|0|0|0
CS507|corticosteroide mix (hydrocortisone 21-acetate 1% $$ hydrocortisone 17-butyrate 1%ÿ $$ budesonide 0.01% )|2.01|petrolatum|0|0|0|0|0|0|0|0|0
PF162|coumarin|5|petrolatum|0|0|0|0|0|0|0|0|0
PG305|cresyl glycidyl ether|0.25|petrolatum|0|0|0|0|0|0|0|0|0
MS393|cyanocobalamin|10|petrolatum|0|0|0|0|0|0|0|0|0
RC293|cyclohexylthiophthalimide|0.5|petrolatum|0|0|0|0|0|0|0|0|0
NA74|decyl glucoside|5|petrolatum|1|1|0|0|0|0|0|1|1
NA68|desoximethasone|1|petrolatum|0|0|0|0|0|0|0|1|1
CS493|dexamethasone|0.5|petrolatum|0|0|0|0|0|0|0|0|0
CS502|dexamethasone-21-phospate|1|petrolatum|0|0|0|0|0|0|0|0|0
MS373|dexpanthenol|5|petrolatum|0|0|0|0|0|0|0|0|0
NH999|diallyl disulfide|1|petrolatum|0|0|0|0|0|0|0|0|0
AP87|diazolidinyl urea|2|petrolatum|0|0|1|1|0|1|0|0|0
NA01|diazolidinyl ureaÿ(Germall? II)|1|petrolatum|1|0|0|0|0|0|0|1|0
RC270|dibenzothiazyl disulfideÿ(MBTS)|1|petrolatum|0|0|0|0|0|0|0|0|0
RC271|dibutylphthalate|5|petrolatum|0|0|0|0|0|0|0|0|0
RC272|dibutylthiourea|1|petrolatum|0|0|0|0|0|0|0|0|0
AP89|dichlorophene|0.5|petrolatum|0|0|0|0|0|0|0|0|0
MS374|diclofenac|5|petrolatum|0|0|0|0|0|0|0|0|0
MS394|diclofenac|2.5|petrolatum|0|0|0|0|0|0|0|0|0
EE350|diethanolamine|2|petrolatum|0|0|0|0|0|0|0|0|0
PG323|diethylenetriamine|1|petrolatum|0|0|0|0|0|0|0|0|0
PG301|diethylphthalate|5|petrolatum|0|0|0|0|0|0|0|0|0
RC999|diethylthiourea|1|petrolatum|0|0|0|0|0|0|0|0|0
EE366|dimethylaminopropylamine|1|petrolatum|0|0|0|0|0|0|0|0|0
NA75|dimethylaminopropylamineÿ(DMAPA)|1|water|1|1|0|0|0|0|0|1|1
NA27|dimethylol dihydroxyethyleneurea|4.5|water|0|0|0|0|0|0|0|0|0
PG302|dimethylphthalate|5|petrolatum|0|0|0|0|0|0|0|0|0
RC276|dipentamethylenethiuram disulfide|0.25|petrolatum|0|0|0|0|0|0|0|0|0
RC273|dipentamethylenethiuram tetrasulfide|0.25|petrolatum|0|0|0|0|0|0|0|0|0
PG303|diphenylmethane-4,4'-diisocyanate|1|petrolatum|0|0|0|0|0|0|0|0|0
RC274|diphenyl-p-phenylenediamine|0.25|petrolatum|0|0|0|0|0|0|0|0|0
RC275|diphenylthiourea|1|petrolatum|0|0|0|0|0|0|0|0|0
EM399|disodium edetate|1|petrolatum|0|0|0|0|0|0|0|0|0
DC340|disperse blue 106|0.2|petrolatum|0|0|0|0|0|0|0|0|0
DC998|disperse blue 124|1|petrolatum|0|0|0|0|0|0|0|0|0
NA83|disperse blue mix (124/106)(disperse blue 124 0.5%ÿ$$ disperse blue 106 0.5%)|1|petrolatum|1|1|1|1|0|0|0|1|1
DC324|disperse blue-3|1|petrolatum|0|0|0|0|0|0|0|0|0
DC325|disperse orange-3|1|petrolatum|1|1|0|0|0|0|0|0|0
DC326|disperse red-1|1|petrolatum|0|0|0|0|0|0|0|0|0
DC327|disperse red-11|1|petrolatum|0|0|0|0|0|0|0|0|0
DC328|disperse red-17|1|petrolatum|0|0|0|0|0|0|0|0|0
DC329|disperse yellow-3|1|petrolatum|0|0|0|0|0|0|0|0|0
DC330|disperse yellow-9|1|petrolatum|0|0|0|0|0|0|0|0|0
RC290|dithiocarbamate mix (dimethyldithiocarbamic acid zinc salt 0.5%ÿ$$ diethyldithiocarbamic acid zinc salt 0.5%ÿ$$ di-N-butyldithiocarbamic acid zinc salt 0.5% $$ N-ethyl-N-phenyldithiocarbamic acid zinc salt 0.5%)|2|petrolatum|0|0|0|0|0|0|1|0|0
NA87|dl alpha tocopherol|100||1|1|0|0|0|0|0|1|1
NA79|d-limonene|3|petrolatum|0|0|0|0|0|0|0|0|0
PF132|d-limonene|2|petrolatum|0|0|0|0|0|0|0|0|0
NA92|dl-limonene (dipentene)|2|petrolatum|0|0|1|0|0|0|0|0|0
NA31|DMDM hydantoin|1|petrolatum|1|1|0|0|0|0|0|1|1
AP90|DMDM hydantoin|2|water|0|0|1|0|0|0|0|0|0
AP91|dodecyl gallate|0.3|petrolatum|0|0|0|0|0|0|0|0|0
RC277|dodecyl mercaptan|0.1|petrolatum|0|0|0|0|0|0|0|0|0
AA427|erythromycin|2|petrolatum|0|0|0|0|0|0|0|0|0
AA417|erythromycin|1|petrolatum|0|0|0|0|0|0|0|0|0
DC332|erythrosin-B|0.25|petrolatum|0|0|0|0|0|0|0|0|0
FA189|erythrosin-B|0.25|ethanol|0|0|0|0|0|0|0|0|0
NA34|ethyl acrylate|0.1|petrolatum|1|1|0|0|0|0|0|1|1
NA90|ethyl cyanoacrylate|2.5|petrolatum|1|1|0|0|0|0|0|0|0
NA101|ethyl hexyl glycerol|5|petrolatum|0|0|0|0|0|0|0|1|1
NA35|ethylenediamine dihydrochloride|1|petrolatum|1|0|0|1|0|0|0|1|0
DM224|ethyleneglycol dimethacrylateÿ(EGDMA)|2|petrolatum|0|0|0|0|0|0|0|0|0
PG316|ethyleneurea, melamine formaldehyde mix (ethyleneurea 2.5%ÿ$$ melamine formaldehyde resin 2.5%)|5|petrolatum|1|1|0|0|0|0|0|0|0
PG324|ethylmethacrylate|2|petrolatum|0|0|0|0|0|0|0|0|0
AP92|ethyl-p-hydroxybenzoate|3|petrolatum|0|0|0|0|0|0|0|0|0
PF133|eugenol|1|petrolatum|0|0|0|0|0|0|0|0|0
PF163|farnesol|5|petrolatum|0|0|0|0|0|0|0|0|0
MC264|ferric chloride|2|water|0|0|0|0|0|0|0|0|0
MC247|ferrous sulfate|5|petrolatum|0|0|0|0|0|0|0|0|0
NA94|formaldehyde|2|water|0|0|0|1|1|1|0|1|0
NA37|formaldehyde|1|water|1|0|1|0|0|0|1|1|0
FA190|formic acid|1|water|0|0|0|0|0|0|0|0|0
PF155|fragrance mix [A] (eugenol 1%ÿ$$ geraniol 1%$$ cinnamic aldehyde 1%ÿ$$ cinnamic alcohol 1%ÿ$$ amylcinnamic aldehyde 1%ÿ$$ hydroxycitronellal 1%$$ isoeugenol 1%$$ sandalwood oil 1%)|8|petrolatum|0|0|0|0|0|0|1|0|0
PF156|fragrance mix [B] (eugenol 1%ÿ$$ geraniol 1%ÿ$$ cinnamic aldehyde 1%ÿ$$ cinnamic alcohole 1%ÿ$$ alpha-amylcinnamicaldehyde 1%$$ hydroxycitronellal 1%ÿ$$ isoeugenol 1%ÿ$$ oakmoss absolute 1%)|8|petrolatum|0|0|0|0|0|0|0|0|0
NA70|fragrance mix II (coumarin 2.5% $$ lyral 2.5% $$ citronellol 0.5%ÿ $$ farnesol 2.5% $$ citral 1%ÿ $$ alpha-hexylcinnamic aldehyde 5%)|14|petrolatum|1|1|1|1|1|1|0|1|1
NA38|fragrance mix (eugenol 1% $$ geraniol 1% $$ cinnamic aldehyde 1% $$ cinnamic alcohol 1% $$ amylcinnamic aldehyde 1% $$ hydroxycitronellal 1% $$ isoeugenol 1% $$ oakmoss absolute 1%)|8|petrolatum|1|0|1|1|1|1|0|1|0
AA428|framycetin sulfate|10|petrolatum|0|0|0|0|0|0|0|0|0
AA418|fusidic acid sodium salt|2|petrolatum|0|0|0|1|0|0|0|0|0
MC248|gallium oxide|1|petrolatum|0|0|0|0|0|0|0|0|0
PF169|gamma methylionone|0.1|petrolatum|0|0|0|0|0|0|0|0|0
AA419|gentamicin sulfate|20|petrolatum|0|0|0|0|0|0|0|0|0
PF134|geraniol|1|petrolatum|0|0|0|0|0|0|0|0|0
MC992|germanium(IV) chloride|2|petrolatum|0|0|0|0|0|0|0|0|0
NA39|glutaraldehyde|1|petrolatum|1|1|0|0|0|0|0|0|0
AP93|glutaraldehyde|0.3|petrolatum|0|0|0|0|0|0|0|0|0
NA40|glyceryl monothioglycolate ÿ|1|petrolatum|0|0|0|0|0|0|0|0|0
AP95|glyoxal trimeric dihydrate|1|petrolatum|0|0|0|0|0|0|0|0|0
DM228|gold sodium thiosulfate|0.25|petrolatum|0|0|0|0|0|0|0|0|0
MC254|gold sodium thiosulfate|0.5|petrolatum|1|0|0|0|0|0|1|0|0
PA464|hexachlorophene|1|petrolatum|0|0|0|0|0|0|0|0|0
RC278|hexamethylenetetramine|1|petrolatum|0|0|0|0|0|0|0|0|0
EE373|hexylene glycol|10|water|0|0|0|0|0|0|0|0|0
